series,top,bottom,t,b,n
ADORNADO,"{0,5,28,163}","{5,28,76,208}",163,76,4
ALAMO,"{0,23,94}","{23,69,102}",94,69,3
ALTICREST,"{0,3,5,81}","{5,0,25,NULL}",81,25,4
ALVIN,"{0,20,28,38,188}","{20,28,38,64,203}",188,64,5
AMBRANT,"{0,5,10,99}","{10,NULL,51,152}",99,51,4
ANGLE,"{0,5,107}","{5,18,152}",107,18,3
ANSEL,"{0,3,8,13,107}","{13,NULL,NULL,76,152}",107,76,5
APILAM,"{0,15,28,38,41,69,86,112,117,127,152,170}","{15,28,38,41,69,86,112,117,127,152,165,203}",170,165,12
ARKPORT,"{0,23,38,234}","{23,38,71,269}",234,71,4
ARMENTA,"{0,5,25,140}","{5,25,33,203}",140,33,4
ARROWHEAD,"{3,10,36}","{10,20,79}",36,20,3
ASPARAS,"{0,5,61}","{5,18,86}",61,18,3
BAYS,"{8,48}","{41,NULL}",48,41,2
BEECH GROVE,"{0,3,8}","{8,0,NULL}",8,0,3
BENDEMEERE,"{0,3,8,127}","{3,8,25,157}",127,25,4
BIDDLEMAN,"{0,5,10,25,61}","{5,10,25,38,152}",61,38,5
BILLYCREEK,"{0,5,66}","{5,25,NULL}",66,25,3
BIWABIK,"{0,5,23,163}","{5,23,81,203}",163,81,4
BLACKBURN,"{3,10,107}","{10,28,178}",107,28,3
BLACKLEED,"{0,66}","{10,102}",66,10,2
BODI,"{0,3,10,13,30,43,112}","{3,10,13,30,43,61,203}",112,61,7
BOOMTOWN,"{8,10}","{0,8}",10,0,2
BORAVALL,"{0,23,102,109}","{23,48,152,102}",109,152,4
BROBETT,"{0,8,76}","{8,20,NULL}",76,20,3
BROOKLYN,"{0,23,36,51,79,102,117,132,185}","{23,36,51,79,102,117,132,158,203}",185,158,9
BRUIN,"{0,15,28,51,71,91,104,130,145,180}","{15,28,51,71,91,104,130,145,168,206}",180,168,10
BRYCE,"{0,25,33,48,61,89,147}","{25,33,48,61,89,114,168}",147,114,7
BUCKHART,"{0,20,38,66,170}","{20,38,66,94,203}",170,94,5
CABLAB,"{0,10,23,41,69,109}","{10,23,41,69,84,152}",109,84,6
CAJETE,"{0,18,38,114}","{18,38,84,124}",114,84,4
CAMPTANK,"{0,8,15,25,43,104}","{8,15,25,43,86,NULL}",104,86,6
CANARWAY,"{0,5,15,30}","{5,15,25,152}",30,25,4
CARGILL,"{0,15,33,43,76,89}","{15,33,43,64,127,76}",89,127,6
CARIOCA,"{0,76,102,165}","{18,102,142,190}",165,142,4
CASTELLEIA,"{0,3,8,10,48,66,81,259}","{10,0,3,25,66,81,305,NULL}",259,305,8
CATCHELL,"{0,81}","{8,NULL}",81,8,2
CATESBY,"{0,20,40,73,164}","{20,40,73,106,200}",164,106,5
CHICHAGOF,"{0,10,23,30,33}","{10,23,152,0,30}",33,0,5
CHICKAMAN,"{0,5,28,81}","{5,28,51,152}",81,51,4
CHINARISE,"{0,13,23,46,127}","{13,23,46,74,152}",127,74,5
CHUCKRIVER,"{0,13,20,25}","{13,25,0,NULL}",25,0,4
CIMA,"{0,5,18,61,99}","{5,18,61,76,NULL}",99,76,5
CLAYTON,"{0,13,132}","{13,20,157}",132,20,3
COAL CREEK,"{0,5,8,15,23}","{8,NULL,23,5,38}",23,5,5
COALVALE,"{0,8,117}","{8,86,185}",117,86,3
COLONIE,"{0,20,41,160}","{20,41,71,203}",160,71,4
CORAL,"{0,122}","{20,152}",122,20,2
CORBIERE,"{0,18,36,56,89,117,152,244}","{18,36,56,89,117,152,188,290}",244,188,8
COVILLE,"{0,3,8}","{3,53,NULL}",8,53,3
COYOTEFLATS,"{0,10,23,36,107}","{10,23,36,51,152}",107,51,5
CRANELL,"{0,25,56,109,142,147}","{25,56,142,147,109,203}",147,109,6
CROWFORK,"{0,28,193}","{28,51,203}",193,51,3
DADINA,"{0,8,10,18,25,56}","{8,18,NULL,56,10,81}",56,10,6
DANDRIDGE,"{0,3,8,18,30,89}","{8,0,18,30,43,NULL}",89,43,6
DEIBERT,"{0,10,38,66,173,NULL}","{10,20,66,94,203,NULL}",173,94,5
DEMPSEY,"{0,20,76,102}","{20,76,112,152}",102,112,4
DENTDRAW,"{0,15,23,28,46,69,132}","{15,23,28,46,69,107,152}",132,107,7
DERALLO,"{0,3,10,30,48,58,104}","{3,10,30,48,58,91,130}",104,91,7
DICK,"{0,3,13}","{3,5,61}",13,5,3
DILLINGHAM,"{0,3,20,28,79}","{3,20,28,53,203}",79,53,5
DIRTYHEAD,"{0,97}","{15,NULL}",97,15,2
DOOLIN,"{0,30,51,81,173}","{30,51,81,122,178}",173,122,5
DRAMMEN,"{0,23,38,53,165}","{23,38,53,112,183}",165,112,5
DRYBURG,"{0,20,23,61}","{20,23,46,152}",61,46,4
EAGLEVIEW,"{0,18,41,94}","{18,41,58,203}",94,58,4
EASLEY,"{0,5,10,13,20}","{10,0,20,5,28}",20,5,5
ELKNER,"{0,5,23,97}","{5,23,56,152}",97,56,4
ELZINGA,"{0,3,56,66,157}","{56,NULL,66,122,165}",157,122,5
ENOSBURG,"{0,20,81}","{20,41,165}",81,41,3
ESHAMY,"{0,25}","{51,18}",25,51,2
FANSHAW,"{0,5,15,18,23,76}","{5,15,76,0,18,152}",76,18,6
FELDHAUSER,"{0,25,46,53,76,137}","{25,46,53,76,99,203}",137,99,6
FRESHKILLS,"{0,15,76,76}","{15,76,183,NULL}",76,183,4
FROSTCIRCLE,"{0,0,5,10,20,28,38,38,43,119}","{5,28,10,20,38,38,43,119,152,152}",119,152,10
GALEN,"{0,20,30,137}","{20,30,41,178}",137,41,4
GARZA,"{0,20,20,61,61}","{20,61,61,152,152}",61,152,5
GOODHOPE,"{0,3,8,8,25}","{8,0,25,3,112}",25,3,5
