series,tp,bn,cs,gs
ABOR,0,0,1,1
ACEL,0,0,1,1
ABSAROKEE,0,0,1,0
ABSHER,0,0,0,1
ACCOLA,0,0,1,0
ANCHO,0,0,0,1
ACOVE,0,0,1,0
ACQUANGO,0,0,0,1
ACREDALE,0,0,1,1
ALDER,0,0,1,1
ADAMSTOWN,0,0,1,1
ADDERTON,0,0,1,0
ADELPHIA,0,0,1,1
ADGER,0,0,0,1
AERIE,0,0,0,1
BANNERTOWN,0,0,0,1
BRIDGEWATER,0,0,1,1
AHRNKLIN,0,0,0,1
AILEY,0,0,1,1
BLACKBEAR,0,0,1,0
ALBANY,0,0,1,1
ALBERTON,0,0,0,1
HANNING,0,0,1,1
ALECANYON,0,0,1,1
ALEKNAGIK,0,0,0,1
ALEXANDER,0,0,1,0
ALIKCHI,0,0,0,1
ALLEGHENY,0,0,1,1
ALLENTINE,0,0,0,1
ALLOWAY,0,0,1,1
MATTAPEX,0,0,1,1
ALTAVISTA,0,0,1,1
MAXEY,0,0,0,1
ALZADA,0,0,1,1
AMALIA,0,0,1,0
AMBRANT,0,0,1,1
AMBROSECREEK,0,0,1,0
AMHERST,0,0,0,1
AMSTERDAM,0,0,1,1
ANACONDA,0,0,1,1
ANCENEY,0,0,0,1
ANCHOR BAY,0,0,1,1
ANGORA,0,0,0,1
ANIAK,0,0,0,1
ANNAPOLIS,0,0,0,1
ANNEMESSEX,0,0,1,1
ANNIS,0,0,0,1
ANTELOPEPEAK,0,0,1,1
ANTELOPERIDGE,0,0,0,1
ANTHON,0,0,0,1
ANTWERP,0,0,1,1
APPANOOSE,0,0,1,0
APPOMATTOX,0,0,0,1
APPOQUINIMINK,0,0,1,1
APTOS,0,0,1,0
AQUASCO,0,0,1,1
ARAHUSTAN,0,0,1,1
BLACKHOOF,0,0,0,1
ARAPAHOE,0,0,0,1
ARBOLADO,0,0,0,1
ARBOR,0,0,1,1
ARCETTE,0,0,1,0
ARGIROCKER,0,0,1,1
ARIEL,1,0,0,0
ARLEN,0,0,0,1
ARMELLS,0,0,0,1
ARMINGTON,0,0,0,1
ARMITAGE,0,0,0,1
ARROD,0,0,0,1
ARROWPEAK,0,0,1,0
ARSITE,0,0,1,1
ASCHOFF,0,0,1,1
ASHLO,0,0,1,0
ASHNOLA,0,0,1,0
ASKECKSY,0,0,0,1
ASSINNIBOINE,0,0,1,0
ATHENA,0,0,1,1
BARKOF,0,0,1,1
ATSION,0,0,0,1
BARNWELL,0,0,1,1
BEANCREEK,0,0,1,0
AUCHARD,0,0,1,0
BEARPAW,0,0,1,1
AUGUSTA,0,0,1,1
AURA,0,0,1,1
AUREOLA,0,0,1,1
BURRFOOT,0,0,0,1
AUTRYVILLE,0,0,1,1
CROOM,0,0,0,1
AVENT,0,0,1,0
AYERSVILLE,0,0,1,1
AXTELL,0,0,1,0
AZUVINA,0,0,1,1
BABB,0,0,1,0
CASVILLE,0,0,1,1
BANISTER,0,0,1,1
BABOON,0,0,1,0
BALLINGER,0,0,0,1
CUMBERSTONE,0,0,1,1
BAINVILLE,0,0,1,1
BALD,0,0,0,1
BALE,0,0,0,1
BALLONA,0,0,0,1
BALLOONTREE,0,0,0,1
BARANOF,0,0,0,1
BARBARELA,0,0,1,0
BARCLAY,0,0,0,1
BARCO,0,0,0,1
BARFUSS,0,0,1,0
BARGEVILLE,0,0,1,0
BARKERS CROSSROADS,0,0,1,1
BARNEYCREEK,0,0,1,1
BASCOM,0,0,0,1
BASCOVY,0,0,0,1
BEAUVAIS,0,0,0,1
BEAVOE,0,0,1,0
BATTLEAX,0,0,1,1
BEECH,0,0,1,1
BATTLEBUTTE,0,0,0,1
BATZA,0,0,1,1
BEARPAWMEADOW,0,0,1,1
BAVDARK,0,0,1,0
BAXENDALE,0,0,1,1
BAYBORO,0,0,0,1
BEACHCANYON,0,0,1,0
BELTSVILLE,0,0,1,1
BEARKNOB,0,0,1,1
BEAVERELL,0,0,1,0
BEAVERFLAT,0,0,1,1
BEAVERIDGE,0,0,1,0
BEAVROCK,0,0,1,0
BEAVWAN,0,0,1,0
BEECHCREEK,0,0,1,0
BEEHIVE,0,0,0,1
BEEK,0,0,0,1
BEENOM,0,0,1,0
BEIGLE,0,0,0,1
BELAIN,0,0,1,0
BELHAVEN,0,0,1,1
BELLE,0,0,1,0
BELLSPUR,0,0,0,1
BELLTOWER,0,0,1,1
HALLET,0,0,1,0
BELTON,0,0,0,1
BENDOH,0,0,1,0
BENTLEY,0,0,1,1
BENZ,0,0,1,1
BIGMOW,0,0,0,1
